"","la_code","parmseq","parm","indicator","value","disease"
"1","E06000001",1,"Scenario_1","estimate",17.22,"depression"
"2","E06000002",1,"Scenario_1","estimate",16.75,"depression"
"3","E06000003",1,"Scenario_1","estimate",16.82,"depression"
"4","E06000004",1,"Scenario_1","estimate",16.67,"depression"
"5","E06000005",1,"Scenario_1","estimate",17.24,"depression"
"6","E06000007",1,"Scenario_1","estimate",14.64,"depression"
"7","E06000008",1,"Scenario_1","estimate",17.41,"depression"
"8","E06000009",1,"Scenario_1","estimate",16.45,"depression"
"9","E06000010",1,"Scenario_1","estimate",17.29,"depression"
"10","E06000011",1,"Scenario_1","estimate",16.24,"depression"
"11","E06000012",1,"Scenario_1","estimate",16.3,"depression"
"12","E06000013",1,"Scenario_1","estimate",17.04,"depression"
"13","E06000014",1,"Scenario_1","estimate",14.82,"depression"
"14","E06000015",1,"Scenario_1","estimate",11.56,"depression"
"15","E06000016",1,"Scenario_1","estimate",15.91,"depression"
"16","E06000017",1,"Scenario_1","estimate",12.55,"depression"
"17","E06000018",1,"Scenario_1","estimate",16.75,"depression"
"18","E06000019",1,"Scenario_1","estimate",15.43,"depression"
"19","E06000020",1,"Scenario_1","estimate",16.48,"depression"
"20","E06000021",1,"Scenario_1","estimate",17.39,"depression"
"21","E06000022",1,"Scenario_1","estimate",14.21,"depression"
"22","E06000023",1,"Scenario_1","estimate",16.05,"depression"
"23","E06000024",1,"Scenario_1","estimate",15.65,"depression"
"24","E06000025",1,"Scenario_1","estimate",15.4,"depression"
"25","E06000026",1,"Scenario_1","estimate",16.18,"depression"
"26","E06000027",1,"Scenario_1","estimate",15.72,"depression"
"27","E06000028",1,"Scenario_1","estimate",15.45,"depression"
"28","E06000029",1,"Scenario_1","estimate",14.1,"depression"
"29","E06000030",1,"Scenario_1","estimate",16.03,"depression"
"30","E06000031",1,"Scenario_1","estimate",11.65,"depression"
"31","E06000032",1,"Scenario_1","estimate",15.16,"depression"
"32","E06000033",1,"Scenario_1","estimate",14.77,"depression"
"33","E06000034",1,"Scenario_1","estimate",15.46,"depression"
"34","E06000035",1,"Scenario_1","estimate",15.48,"depression"
"35","E06000036",1,"Scenario_1","estimate",14.85,"depression"
"36","E06000037",1,"Scenario_1","estimate",12.55,"depression"
"37","E06000038",1,"Scenario_1","estimate",10.12,"depression"
"38","E06000039",1,"Scenario_1","estimate",13.35,"depression"
"39","E06000040",1,"Scenario_1","estimate",13.32,"depression"
"40","E06000041",1,"Scenario_1","estimate",12.51,"depression"
"41","E06000042",1,"Scenario_1","estimate",14.78,"depression"
"42","E06000043",1,"Scenario_1","estimate",14.38,"depression"
"43","E06000044",1,"Scenario_1","estimate",14.46,"depression"
"44","E06000045",1,"Scenario_1","estimate",15.53,"depression"
"45","E06000046",1,"Scenario_1","estimate",14.54,"depression"
"46","E06000047",1,"Scenario_1","estimate",17.24,"depression"
"47","E06000049",1,"Scenario_1","estimate",15.05,"depression"
"48","E06000050",1,"Scenario_1","estimate",17.29,"depression"
"49","E06000051",1,"Scenario_1","estimate",15.78,"depression"
"50","E06000052",1,"Scenario_1","estimate",16.38,"depression"
"51","E06000054",1,"Scenario_1","estimate",15.28,"depression"
"52","E06000055",1,"Scenario_1","estimate",15.16,"depression"
"53","E06000056",1,"Scenario_1","estimate",14.24,"depression"
"54","E07000004",1,"Scenario_1","estimate",14.94,"depression"
"55","E07000005",1,"Scenario_1","estimate",13.66,"depression"
"56","E07000006",1,"Scenario_1","estimate",13.69,"depression"
"57","E07000007",1,"Scenario_1","estimate",14.8,"depression"
"58","E07000008",1,"Scenario_1","estimate",15.07,"depression"
"59","E07000009",1,"Scenario_1","estimate",15.56,"depression"
"60","E07000010",1,"Scenario_1","estimate",16.22,"depression"
"61","E07000011",1,"Scenario_1","estimate",15.78,"depression"
"62","E07000012",1,"Scenario_1","estimate",14.53,"depression"
"63","E07000026",1,"Scenario_1","estimate",17.05,"depression"
"64","E07000027",1,"Scenario_1","estimate",16.35,"depression"
"65","E07000028",1,"Scenario_1","estimate",16.93,"depression"
"66","E07000029",1,"Scenario_1","estimate",17.59,"depression"
"67","E07000030",1,"Scenario_1","estimate",15.91,"depression"
"68","E07000031",1,"Scenario_1","estimate",14.43,"depression"
"69","E07000032",1,"Scenario_1","estimate",16.91,"depression"
"70","E07000033",1,"Scenario_1","estimate",17.69,"depression"
"71","E07000034",1,"Scenario_1","estimate",16.39,"depression"
"72","E07000035",1,"Scenario_1","estimate",15.44,"depression"
"73","E07000036",1,"Scenario_1","estimate",14.75,"depression"
"74","E07000039",1,"Scenario_1","estimate",16.33,"depression"
"75","E07000040",1,"Scenario_1","estimate",14.66,"depression"
"76","E07000041",1,"Scenario_1","estimate",15.39,"depression"
"77","E07000042",1,"Scenario_1","estimate",15.7,"depression"
"78","E07000043",1,"Scenario_1","estimate",15.85,"depression"
