practice_code,CCGgeogcode,2011regionname,listsize,bp-estimate,bp-max95,bp-min95,bp-qofprev,chd-estimate,chd-max95,chd-min95,chd-qofprev,copd-estimate,copd-max95,copd-min95,copd-qofprev,depression-estimate,depression-max95,depression-min95,depression-qofprev,pad-estimate,pad-max95,pad-min95,pad-qofprev,stroke_IMD-estimate,stroke_IMD-max95,stroke_IMD-min95,stroke-estimate,stroke-max95,stroke-min95,stroke-qofprev,undx_bp-estimate,undx_bp-max95,undx_bp-min95
A81001,E38000075,North East,4182.0,23.7142485594974,25.7841114512472,21.7618249085248,0.136059301769488,7.98028586395169,8.63418801978829,7.37191060737182,4.3041606887,3.14912677773599,3.18457031770657,3.11406502787885,2.6542324247,15.812472158868,17.0786803913063,14.6235846750593,7.80108486694018,1.09514244612978,1.37052642445857,0.874601520724004,0.693448111,4.14827755931731,4.62510940590142,3.71868858574299,4.09014954476124,4.53596237623922,3.68646099147446,2.5585844094,12.7769373615193,13.6498151816454,11.9521521489978
A81002,E38000075,North East,19618.0,23.4627308182628,25.3209216387327,21.7012777709929,0.172902436537873,7.24028371470616,7.8556875159739,6.66960027050821,5.0158018147,3.20459632179653,3.24078030754421,3.16880310697048,3.0584157406,17.3254561901216,18.7079730411968,16.0249669813549,13.4124716027753,1.03492542103634,1.30005464358448,0.823414770576065,1.050056071,3.88597445780043,4.36007107066949,3.46156337130952,3.79445525635604,4.22442413646395,3.4066926928978,2.5180956265,12.8608720237139,13.7586382307912,12.0135257480741
A81003,E38000075,North East,3469.0,22.3804508908099,24.400533897217,20.4822969587527,0.175843182473335,7.25035355570033,7.88889572587069,6.65975931590173,3.7474776593,3.08564348355967,3.12673333739199,3.04507663701751,4.093398674,19.8409200690521,21.9258880042242,17.9087372827678,9.20539977511486,1.04971081212569,1.32413870193857,0.831678765764602,0.7494955319,3.8935276753372,4.52133065454693,3.34983896519615,3.78440488901126,4.23310160715977,3.38158935171467,1.4701643125,12.4353638945317,13.6689578154276,11.2985290128385
A81004,E38000162,North East,9078.0,21.3258890403511,23.7452825663748,19.0912892464165,0.142652566644635,7.8984784584853,8.55453228748502,7.28872765802582,4.0207094074,2.88671840178644,2.92232562790118,2.8515322897151,3.0733641771,15.2808524825863,16.8252365042904,13.8546140025712,4.86269128116123,1.04667535391009,1.31783977353051,0.83083713539395,0.6278916061,4.05688246187288,4.60209645982435,3.57384062334138,3.96855396516778,4.40828763659936,3.57104577937932,1.9828155981,12.2609669168932,13.2983934908978,11.2939292102084
A81005,E38000162,North East,7916.0,25.7601032351955,27.4197541846881,24.167457965537,0.168519454269833,7.16665272762367,7.87967289273395,6.5135906684633,4.3329964629,2.66103470148588,2.69812918819857,2.62443644279149,2.2738756948,16.9359496640682,18.3978694155725,15.5680339006293,8.15740955710637,1.03044346346608,1.33328705483669,0.795833104505376,0.6947953512,3.77128410745505,4.29506695368556,3.30916790987479,3.83973863380347,4.28628814635141,3.4380399976007,2.4254674078,13.2107897641672,14.1769775870693,12.301011543632
A81006,E38000075,North East,12202.0,22.387411053014,24.2172754319442,20.6581211522189,0.14891001475168,7.05939831573614,7.66391842917633,6.49920568802985,4.1878380593,2.96100434041213,2.99501466155026,2.92736857355513,2.843796099,17.9365071677137,19.4087856369259,16.5529715266831,4.76716226955164,1.02490179001724,1.28798474861691,0.81511225847608,0.7703655139,3.79036359633668,4.27089211592596,3.36200174030638,3.69666865438977,4.12234066153119,3.31343241458679,2.1799704966,12.4844972120708,13.3944302782816,11.628079662616
A81007,E38000075,North East,9517.0,22.8407711589511,24.6682074249316,21.1107746633196,0.164967952085741,7.49249534257608,8.15605325875201,6.87887960495868,4.6758432279,2.97638463897199,3.01116047653638,2.94199824426809,3.3729116318,18.91188091094,20.50864924911,17.4122021573191,14.3110852296775,1.08956379348844,1.37385841503479,0.863583573395097,0.903646107,4.0411441407346,4.56979427197085,3.57136145043137,3.96252696034344,4.42093519212884,3.54988583311621,2.290637806,12.5003146491273,13.463049091455,11.5971985981309
A81008,E38000162,North East,4127.0,22.4842668562481,24.8651974100275,20.269813857726,0.198691543494063,7.52928555713173,8.14776821807566,6.95419636007079,5.2580566998,3.37087253096742,3.42179338263006,3.32068339484008,4.9430579113,19.8535328185279,22.3718112036203,17.5546209317571,10.5228834072988,1.10734815999695,1.37619412118334,0.890548270030643,1.5023019142,4.05185332995137,4.80363028849899,3.41351204005581,3.84758030189518,4.28106276294457,3.45640549694975,1.9869154349,12.7310929901725,14.2557075404586,11.3479527845468
A81009,E38000162,North East,9247.0,20.9746951657876,23.2696777144118,18.8504501287098,0.131069536065751,7.11851030499162,7.73581813152627,6.54696734814183,3.8282686277,2.58111261014003,2.6130826674024,2.54952345436734,2.2061209041,16.4129752679682,18.0062701909479,14.9349840773533,4.68746936733709,0.98563987548009,1.24946448976638,0.777083503987217,1.0165459068,3.63923616153595,4.14889157423511,3.19010383447122,3.57472521822867,3.99806948013887,3.19471595522777,1.8816913594,12.198925393274,13.2308959944533,11.2370215045773
A81011,E38000075,North East,11220.0,22.9734722201503,24.8664030132361,21.1840104727932,0.188948306595365,7.37574791282909,8.02882177991156,6.77188446196484,5.5882352941,3.11895133028338,3.15617855170675,3.0821492303964,4.1711229947,19.4653609393735,21.2148824213541,17.8274697191377,13.4076215040384,1.08168690848964,1.36234925750732,0.858341644610884,0.8288770053,3.97887923349197,4.53166001916667,3.49106199629535,3.88473107499498,4.33542705669976,3.4791839174373,2.4688057041,12.5204560379279,13.5598701576005,11.5500707392883
A81012,E38000162,North East,4729.0,20.7562961819113,23.3301934233184,18.3982213489458,0.170649185874392,7.26209756938152,7.86504461537522,6.70201110862835,3.848593783,2.97424798365187,3.0191090281814,2.93003339152813,5.0116303658,17.5522407033184,19.7436075142317,15.5569499449318,8.11721719379132,1.01385728947398,1.27517982184858,0.805650548282188,1.35335166,3.84202341613882,4.52216344125926,3.26068398374586,3.68292540021416,4.11863129481935,3.29172996949493,2.0723197293,12.2257852901998,13.6270862807098,10.950314178621401
A81013,E38000162,North East,6033.0,22.7367971590632,24.4809641627392,21.082204577468,0.16094811868059,7.47344792944778,8.12182718076338,6.8729578903619,3.7626388198,3.17788726798787,3.2175133818891,3.13873335262785,2.7846842367,19.6233332175291,21.3839655835946,17.9745179029749,8.61627061466121,1.10232401184966,1.37700496310466,0.88194563135368,0.5635670479,4.09441136211337,4.65961126180624,3.59518365581072,3.89068956233511,4.3324477971438,3.49233090449423,1.458644124,12.7822702927785,13.796176259312,11.8326500781966
A81014,E38000075,North East,3777.0,25.8668792112423,27.6421439607931,24.1675471113727,0.201217897802489,7.58814794511122,8.22964127787103,6.99284819209641,6.3542494043,3.82359895810425,3.86709353950362,3.78057433728128,4.3950225046,17.1520777063317,18.4040665737159,15.9685908690943,2.68634853671824,1.11161428718971,1.38349812872499,0.892677168190584,1.1649457241,4.04228141896818,4.50062980571387,3.62883794396774,4.01780613717347,4.45152894347779,3.6247388231188298,2.7535080752,13.5750757916505,14.4574214887614,12.7385611342148
