"","la_code","disease","estimate","max95","min95"
"1","E06000001","bp",23.07,24.4,21.79
"2","E06000002","bp",19.31,20.57,18.12
"3","E06000003","bp",23.5,24.75,22.29
"4","E06000004","bp",20.11,21.21,19.05
"5","E06000005","bp",21.41,22.65,20.23
"6","E06000007","bp",22.41,24.1,20.81
"7","E06000008","bp",18.76,19.86,17.72
"8","E06000009","bp",22.77,23.99,21.59
"9","E06000010","bp",18.6,19.87,17.4
"10","E06000011","bp",23.24,24.63,21.91
"11","E06000012","bp",21.72,22.9,20.6
"12","E06000013","bp",23.24,24.65,21.89
"13","E06000014","bp",17.24,18.55,16.01
"14","E06000015","bp",21.95,23.91,20.1
"15","E06000016","bp",15.34,16.54,14.22
"16","E06000017","bp",22.92,24.29,21.6
"17","E06000018","bp",14.6,16.06,13.25
"18","E06000019","bp",22.55,23.77,21.37
"19","E06000020","bp",20.96,22.08,19.88
"20","E06000021","bp",20.28,21.48,19.14
"21","E06000022","bp",18.84,20.15,17.59
"22","E06000023","bp",15.58,16.75,14.47
"23","E06000024","bp",22.18,23.37,21.04
"24","E06000025","bp",19.17,20.37,18.02
"25","E06000026","bp",18.59,19.84,17.41
"26","E06000027","bp",24.41,25.64,23.21
"27","E06000028","bp",17.75,19.02,16.55
"28","E06000029","bp",21.28,22.51,20.1
"29","E06000030","bp",18.88,20.27,17.57
"30","E06000031","bp",21.56,23.23,19.97
"31","E06000032","bp",16.21,17.39,15.09
"32","E06000033","bp",21.39,22.56,20.26
"33","E06000034","bp",20.25,21.41,19.13
"34","E06000035","bp",19.05,20.19,17.96
"35","E06000036","bp",17.19,18.33,16.1
"36","E06000037","bp",20.64,22.13,19.22
"37","E06000038","bp",17.41,19.31,15.65
"38","E06000039","bp",15.81,17.05,14.66
"39","E06000040","bp",18.24,19.47,17.06
"40","E06000041","bp",19.14,20.56,17.8
"41","E06000042","bp",18.01,19.2,16.88
"42","E06000043","bp",14.61,15.8,13.49
"43","E06000044","bp",16.49,17.87,15.19
"44","E06000045","bp",15.54,16.85,14.32
"45","E06000046","bp",23.81,25.26,22.41
"46","E06000047","bp",22.29,23.56,21.07
"47","E06000049","bp",21.45,22.85,20.1
"48","E06000050","bp",21.73,23.2,20.32
"49","E06000051","bp",21.95,23.3,20.66
"50","E06000052","bp",23.16,24.49,21.89
"51","E06000054","bp",20.21,21.6,18.89
"52","E06000055","bp",18.93,20.11,17.8
"53","E06000056","bp",20.39,21.78,19.05
"54","E07000004","bp",19.02,20.35,17.76
"55","E07000005","bp",21.26,22.65,19.94
"56","E07000006","bp",21.89,23.28,20.57
"57","E07000007","bp",18.92,20.26,17.64
"58","E07000008","bp",12.94,14.14,11.82
"59","E07000009","bp",20.18,21.3,19.1
"60","E07000010","bp",23.39,24.62,22.2
"61","E07000011","bp",20.82,22.02,19.66
