"","la_code","Hypertension","CHD","COPD","Depression","Peripheral arterial disease","Stroke"
"1","E06000001",23.07,8.6,3.07,17.22,1.23,3.99
"2","E06000002",19.31,7.98,2.53,16.75,1.17,3.94
"3","E06000003",23.5,8.12,2.98,16.82,1.18,3.91
"4","E06000004",20.11,7.46,2.52,16.67,1.08,3.69
"5","E06000005",21.41,8.21,2.88,17.24,1.25,3.96
"6","E06000006",NA,8.35,NA,NA,1.28,4
"7","E06000007",22.41,8.34,2.6,14.64,1.12,3.5
"8","E06000008",18.76,8.26,2.15,17.41,1.2,3.95
"9","E06000009",22.77,9.4,3.24,16.45,1.4,4.33
"10","E06000010",18.6,8.03,2.48,17.29,1.15,4.07
"11","E06000011",23.24,7.78,3.26,16.24,1.16,3.74
"12","E06000012",21.72,8.15,3,16.3,1.19,3.94
"13","E06000013",23.24,8.12,3,17.04,1.21,3.9
"14","E06000014",17.24,7.28,2.13,14.82,1.08,3.62
"15","E06000015",21.95,9.75,2.15,11.56,1.3,3.74
"16","E06000016",15.34,7.61,1.68,15.91,1.09,3.68
"17","E06000017",22.92,10.53,2.77,12.55,1.71,4.3
"18","E06000018",14.6,7.85,1.86,16.75,1.13,3.87
"19","E06000019",22.55,8.44,2.99,15.43,1.28,3.97
"20","E06000020",20.96,8.65,2.41,16.48,1.27,3.91
"21","E06000021",20.28,8.43,2.47,17.39,1.26,4.16
"22","E06000022",18.84,7.99,2.48,14.21,1.2,3.67
"23","E06000023",15.58,7.59,1.93,16.05,1.09,3.69
"24","E06000024",22.18,7.84,2.99,15.65,1.16,3.82
"25","E06000025",19.17,7.17,2.47,15.4,1.06,3.62
"26","E06000026",18.59,7.81,2.52,16.18,1.13,3.77
"27","E06000027",24.41,8.59,3.66,15.72,1.23,4.01
"28","E06000028",17.75,7.99,2.47,15.45,1.2,3.76
"29","E06000029",21.28,7.66,3.01,14.1,1.09,3.75
"30","E06000030",18.88,7.39,2.12,16.03,1.07,3.58
"31","E06000031",21.56,9.28,2.16,11.65,1.24,3.66
"32","E06000032",16.21,8.2,1.66,15.16,1.14,3.88
"33","E06000033",21.39,8.63,2.67,14.77,1.24,3.9
"34","E06000034",20.25,8.63,2.22,15.46,1.25,3.66
"35","E06000035",19.05,8.01,2.27,15.48,1.16,3.66
"36","E06000036",17.19,7.35,1.79,14.85,1.17,3.58
"37","E06000037",20.64,8.3,2.1,12.55,1.25,3.58
"38","E06000038",17.41,8.73,1.54,10.12,1.12,3.36
"39","E06000039",15.81,8.08,1.23,13.35,1.16,3.56
"40","E06000040",18.24,7.08,2.09,13.32,1.05,3.42
"41","E06000041",19.14,7,1.96,12.51,1.01,3.25
"42","E06000042",18.01,7.61,1.9,14.78,1.13,3.45
"43","E06000043",14.61,7.18,2.18,14.38,0.99,3.43
"44","E06000044",16.49,8.19,1.96,14.46,1.15,3.8
"45","E06000045",15.54,8.08,1.78,15.53,1.17,3.77
"46","E06000046",23.81,8.37,2.88,14.54,1.18,3.76
"47","E06000047",22.29,7.93,2.84,17.24,1.14,3.79
"48","E06000049",21.45,7.71,2.75,15.05,1.17,3.73
"49","E06000050",21.73,7.58,3,17.29,1.13,3.75
"50","E06000051",21.95,7.66,3.05,15.78,1.14,3.82
"51","E06000052",23.16,8.17,3.4,16.38,1.2,3.82
"52","E06000053",NA,7.48,NA,NA,1.06,3.48
"53","E06000054",20.21,7.18,2.51,15.28,1.07,3.63
"54","E06000055",18.93,7.55,2.15,15.16,1.08,3.53
"55","E06000056",20.39,8.09,2.13,14.24,1.2,3.65
"56","E06000057",NA,8.21,NA,NA,1.26,3.85
"57","E07000004",19.02,7.76,2.05,14.94,1.19,3.65
"58","E07000005",21.26,7.99,2.37,13.66,1.21,3.7
"59","E07000006",21.89,7.52,2.63,13.69,1.09,3.57
"60","E07000007",18.92,7.24,2,14.8,1.08,3.57
"61","E07000008",12.94,6.92,1.64,15.07,1.04,3.45
"62","E07000009",20.18,7.92,2.72,15.56,1.27,3.97
"63","E07000010",23.39,8.67,3.1,16.22,1.27,4.02
"64","E07000011",20.82,7.43,2.5,15.78,1.14,3.62
"65","E07000012",19.62,7.07,2.27,14.53,1.06,3.42
"66","E07000026",23.21,8.77,3.32,17.05,1.37,4.2
"67","E07000027",22.26,8.11,3.06,16.35,1.2,3.99
"68","E07000028",21.9,7.42,3.24,16.93,1.04,3.59
"69","E07000029",23.58,8.14,3.1,17.59,1.17,3.85
"70","E07000030",23.21,7.88,3.25,15.91,1.24,4.04
"71","E07000031",24.81,8.15,3.46,14.43,1.22,3.83
"72","E07000032",22.42,8.42,2.76,16.91,1.34,3.95
"73","E07000033",23.15,9.18,2.92,17.69,1.41,4.14
"74","E07000034",21.91,8.13,2.94,16.39,1.2,3.84
"75","E07000035",22.56,7.66,3.17,15.44,1.2,3.83
"76","E07000036",21.09,7.67,2.59,14.75,1.11,3.68
"77","E07000037",NA,7.25,NA,NA,1.08,3.54
"78","E07000038",NA,8.26,NA,NA,1.25,3.84
"79","E07000039",20.56,7.87,2.52,16.33,1.21,3.67
"80","E07000040",24.72,8.84,3.37,14.66,1.41,4.18
"81","E07000041",15.74,6.85,2.2,15.39,0.97,3.47
"82","E07000042",21.8,7.83,2.9,15.7,1.17,3.74
"83","E07000043",22.66,8.26,3.17,15.85,1.23,3.98
"84","E07000044",22.39,6.98,3,14.87,1.07,3.61
"85","E07000045",22.6,7.36,3.2,15.38,1.08,3.65
"86","E07000046",23.71,7.76,3.15,15.41,1.1,3.6
"87","E07000047",24.07,7.35,3.85,17.6,1.07,3.6
"88","E07000048",24.03,8.07,3.72,14.92,1.2,4.04
"89","E07000049",25.01,7.84,3.27,15.05,1.19,3.91
"90","E07000050",21.64,7.59,3.2,15.23,1.2,3.96
"91","E07000051",24.16,8.17,3.24,16.01,1.27,4.04
"92","E07000052",24.08,8.12,3.4,15.22,1.26,4.12
"93","E07000053",22.98,7.57,3.72,16.7,1.05,3.68
"94","E07000061",22.98,8.65,3.49,15.26,1.24,3.98
"95","E07000062",20.67,8.1,3.07,16.63,1.17,3.76
"96","E07000063",22.98,8.12,3.33,16,1.22,3.74
"97","E07000064",25.49,7.94,3.75,15.78,1.19,3.93
"98","E07000065",22.8,7.65,3.47,14.67,1.14,3.67
"99","E07000066",20.82,8.13,2.48,17.11,1.21,3.79
"100","E07000067",21.21,8.22,2.61,15.96,1.3,3.91
"101","E07000068",20.64,7.22,2.73,16.7,1.09,3.57
"102","E07000069",24.34,7.98,3.23,16.66,1.17,3.79
"103","E07000070",19.76,7.42,2.3,14.82,1.1,3.56
"104","E07000071",18.96,7.82,2.21,15.28,1.15,3.67
"105","E07000072",20.81,8.08,2.59,14.93,1.21,3.7
"106","E07000073",NA,8.08,NA,NA,1.13,3.6
"107","E07000074",22.94,7.56,3.14,16.14,1.14,3.67
"108","E07000075",23.19,7.61,3.23,17.06,1.13,3.7
"109","E07000076",26.52,8.8,3.55,16.15,1.26,4.17
"110","E07000077",20.39,7.08,2.54,15.38,1.03,3.41
"111","E07000078",18.09,7.57,2.31,15.29,1.15,3.68
"112","E07000079",21.82,8.16,2.89,14.8,1.33,3.85
"113","E07000080",23.14,8.09,3.13,14.98,1.23,3.79
"114","E07000081",19.53,7.8,2.23,16.45,1.18,3.85
"115","E07000082",20.97,6.89,2.72,15.35,1.02,3.52
"116","E07000083",22.11,7.64,2.88,16.08,1.16,3.76
"117","E07000084",18.58,7.49,2.05,15.35,1.14,3.61
"118","E07000085",21.09,7.45,2.7,14.95,1.15,3.57
"119","E07000086",19.81,7.21,2.36,15.18,1.1,3.62
"120","E07000087",21.6,7.79,2.43,15.06,1.19,3.8
"121","E07000088",21.55,7.93,2.4,15.86,1.17,3.78
"122","E07000089",18.52,6.94,2.28,14.34,1.06,3.52
"123","E07000090",22.53,7.7,2.94,15.55,1.1,3.85
"124","E07000091",25.16,7.88,3.14,14.05,1.14,3.6
"125","E07000092",16.87,7.08,2.14,15.41,1.03,3.47
"126","E07000093",20.56,7.31,2.15,14.64,1.08,3.52
"127","E07000094",19.48,6.82,2.68,14.98,1,3.4
"128","E07000095",20.65,8.04,2.19,14.99,1.17,3.81
"129","E07000096",19.55,7.19,2.48,15.33,1.09,3.56
"130","E07000098",19.58,7.71,2.46,14.77,1.16,3.71
"131","E07000099",19.82,7.15,2.55,14.14,1.02,3.51
"132","E07000102",NA,8.13,NA,NA,1.2,3.59
"133","E07000103",NA,7.69,NA,NA,1.11,3.47
"134","E07000105",20.48,8.22,2.61,15.26,1.28,3.93
