"","la_code","bp","chd","copd","depression","pad_IMD","stroke"
"1","E06000001",23.07,8.46,3.07,17.22,1.23,3.99
"2","E06000002",19.31,7.78,2.53,16.75,1.16,3.86
"3","E06000003",23.5,8.07,2.98,16.82,1.17,3.84
"4","E06000004",20.11,7.46,2.52,16.67,1.08,3.71
"5","E06000005",21.41,8.17,2.88,17.24,1.25,4.03
"6","E06000006",NA,8.21,NA,NA,NA,NA
"7","E06000007",22.41,8.42,2.6,14.64,1.13,3.58
"8","E06000008",18.76,8.02,2.15,17.41,1.2,3.91
"9","E06000009",22.77,9.05,3.24,16.45,1.4,4.3
"10","E06000010",18.6,7.79,2.48,17.29,1.15,4.01
"11","E06000011",23.24,7.89,3.26,16.24,1.16,3.78
"12","E06000012",21.72,8.05,3,16.3,1.19,3.92
"13","E06000013",23.24,8.14,3,17.04,1.21,3.92
"14","E06000014",17.24,7.46,2.13,14.82,1.09,3.69
"15","E06000015",21.95,9.7,2.15,11.56,1.3,3.7
"16","E06000016",15.34,7.35,1.68,15.91,1.09,3.65
"17","E06000017",22.92,10.95,2.77,12.55,1.71,4.34
"18","E06000018",14.6,7.61,1.86,16.75,1.12,3.77
"19","E06000019",22.55,8.5,2.99,15.43,1.27,3.94
"20","E06000020",20.96,8.53,2.41,16.48,1.27,3.91
"21","E06000021",20.28,8.26,2.47,17.39,1.25,4.01
"22","E06000022",18.84,8.22,2.48,14.21,1.2,3.67
"23","E06000023",15.58,7.43,1.93,16.05,1.09,3.68
"24","E06000024",22.18,8,2.99,15.65,1.17,3.81
"25","E06000025",19.17,7.38,2.47,15.4,1.07,3.62
"26","E06000026",18.59,7.67,2.52,16.18,1.13,3.78
"27","E06000027",24.41,8.45,3.66,15.72,1.23,3.97
"28","E06000028",17.75,7.94,2.47,15.45,1.2,3.76
"29","E06000029",21.28,7.8,3.01,14.1,1.11,3.89
"30","E06000030",18.88,7.4,2.12,16.03,1.07,3.6
"31","E06000031",21.56,9.17,2.16,11.65,1.25,3.66
"32","E06000032",16.21,7.98,1.66,15.16,1.14,3.87
"33","E06000033",21.39,8.55,2.67,14.77,1.24,3.89
"34","E06000034",20.25,8.53,2.22,15.46,1.25,3.7
"35","E06000035",19.05,7.92,2.27,15.48,1.16,3.7
"36","E06000036",17.19,7.63,1.79,14.85,1.16,3.52
"37","E06000037",20.64,8.62,2.1,12.55,1.25,3.56
"38","E06000038",17.41,8.79,1.54,10.12,1.12,3.34
"39","E06000039",15.81,7.92,1.23,13.35,1.16,3.59
"40","E06000040",18.24,7.41,2.09,13.32,1.05,3.4
"41","E06000041",19.14,7.4,1.96,12.51,1.02,3.3
"42","E06000042",18.01,7.64,1.9,14.78,1.13,3.44
"43","E06000043",14.61,7.1,2.18,14.38,0.99,3.44
"44","E06000044",16.49,8.07,1.96,14.46,1.14,3.76
"45","E06000045",15.54,7.86,1.78,15.53,1.17,3.77
"46","E06000046",23.81,8.21,2.88,14.54,1.17,3.76
"47","E06000047",22.29,7.77,2.84,17.24,1.14,3.78
"48","E06000049",21.45,7.84,2.75,15.05,1.17,3.79
"49","E06000050",21.73,7.67,3,17.29,1.13,3.81
"50","E06000051",21.95,7.77,3.05,15.78,1.13,3.78
"51","E06000052",23.16,8,3.4,16.38,1.2,3.88
"52","E06000054",20.21,7.34,2.51,15.28,1.07,3.58
"53","E06000055",18.93,7.48,2.15,15.16,1.09,3.58
"54","E06000056",20.39,8.35,2.13,14.24,1.21,3.67
"55","E07000004",19.02,NA,2.05,14.94,1.19,3.71
"56","E07000005",21.26,NA,2.37,13.66,1.22,3.72
"57","E07000006",21.89,NA,2.63,13.69,1.08,3.52
"58","E07000007",18.92,NA,2,14.8,1.08,3.57
"59","E07000008",12.94,NA,1.64,15.07,1.04,3.51
"60","E07000009",20.18,NA,2.72,15.56,1.27,3.92
"61","E07000010",23.39,NA,3.1,16.22,1.27,4.1
"62","E07000011",20.82,NA,2.5,15.78,1.14,3.64
"63","E07000012",19.62,NA,2.27,14.53,1.06,3.45
"64","E07000026",23.21,NA,3.32,17.05,1.36,4.16
"65","E07000027",22.26,NA,3.06,16.35,1.19,3.92
"66","E07000028",21.9,NA,3.24,16.93,1.04,3.65
"67","E07000029",23.58,NA,3.1,17.59,1.17,3.84
"68","E07000030",23.21,NA,3.25,15.91,1.22,3.88
"69","E07000031",24.81,NA,3.46,14.43,1.21,3.78
"70","E07000032",22.42,NA,2.76,16.91,1.34,3.94
"71","E07000033",23.15,NA,2.92,17.69,1.41,4.16
"72","E07000034",21.91,NA,2.94,16.39,1.19,3.81
"73","E07000035",22.56,NA,3.17,15.44,1.19,3.76
"74","E07000036",21.09,NA,2.59,14.75,1.11,3.74
"75","E07000039",20.56,NA,2.52,16.33,1.21,3.67
"76","E07000040",24.72,NA,3.37,14.66,1.41,4.16
"77","E07000041",15.74,NA,2.2,15.39,0.98,3.5
"78","E07000042",21.8,NA,2.9,15.7,1.17,3.77
"79","E07000043",22.66,NA,3.17,15.85,1.23,4.01
"80","E07000044",22.39,NA,3,14.87,1.05,3.52
"81","E07000045",22.6,NA,3.2,15.38,1.08,3.65
"82","E07000046",23.71,NA,3.15,15.41,1.1,3.66
"83","E07000047",24.07,NA,3.85,17.6,1.06,3.66
"84","E07000048",24.03,NA,3.72,14.92,1.2,4
"85","E07000049",25.01,NA,3.27,15.05,1.19,3.89
"86","E07000050",21.64,NA,3.2,15.23,1.17,3.78
"87","E07000051",24.16,NA,3.24,16.01,1.25,3.94
"88","E07000052",24.08,NA,3.4,15.22,1.25,4.06
"89","E07000053",22.98,NA,3.72,16.7,1.04,3.55
"90","E07000061",22.98,NA,3.49,15.26,1.25,4.05
"91","E07000062",20.67,NA,3.07,16.63,1.17,3.77
"92","E07000063",22.98,NA,3.33,16,1.23,3.8
"93","E07000064",25.49,NA,3.75,15.78,1.17,3.82
"94","E07000065",22.8,NA,3.47,14.67,1.14,3.65
"95","E07000066",20.82,NA,2.48,17.11,1.21,3.81
"96","E07000067",21.21,NA,2.61,15.96,1.29,3.83
"97","E07000068",20.64,NA,2.73,16.7,1.08,3.47
"98","E07000069",24.34,NA,3.23,16.66,1.18,3.85
"99","E07000070",19.76,NA,2.3,14.82,1.1,3.58
"100","E07000071",18.96,NA,2.21,15.28,1.14,3.62
"101","E07000072",20.81,NA,2.59,14.93,1.21,3.78
"102","E07000074",22.94,NA,3.14,16.14,1.14,3.64
"103","E07000075",23.19,NA,3.23,17.06,1.13,3.75
"104","E07000076",26.52,NA,3.55,16.15,1.25,4.15
"105","E07000077",20.39,NA,2.54,15.38,1.04,3.42
"106","E07000078",18.09,NA,2.31,15.29,1.16,3.74
"107","E07000079",21.82,NA,2.89,14.8,1.33,3.88
"108","E07000080",23.14,NA,3.13,14.98,1.23,3.79
"109","E07000081",19.53,NA,2.23,16.45,1.19,3.85
"110","E07000082",20.97,NA,2.72,15.35,1.02,3.56
"111","E07000083",22.11,NA,2.88,16.08,1.17,3.84
"112","E07000084",18.58,NA,2.05,15.35,1.15,3.68
"113","E07000085",21.09,NA,2.7,14.95,1.16,3.6
"114","E07000086",19.81,NA,2.36,15.18,1.11,3.63
"115","E07000087",21.6,NA,2.43,15.06,1.19,3.85
"116","E07000088",21.55,NA,2.4,15.86,1.17,3.81
"117","E07000089",18.52,NA,2.28,14.34,1.07,3.56
"118","E07000090",22.53,NA,2.94,15.55,1.1,3.86
"119","E07000091",25.16,NA,3.14,14.05,1.14,3.53
"120","E07000092",16.87,NA,2.14,15.41,1.05,3.59
"121","E07000093",20.56,NA,2.15,14.64,1.08,3.55
"122","E07000094",19.48,NA,2.68,14.98,1.01,3.4
"123","E07000095",20.65,NA,2.19,14.99,1.17,3.84
"124","E07000096",19.55,NA,2.48,15.33,1.1,3.59
"125","E07000098",19.58,NA,2.46,14.77,1.17,3.73
"126","E07000099",19.82,NA,2.55,14.14,1.04,3.57
"127","E07000105",20.48,NA,2.61,15.26,1.27,3.83
"128","E07000106",18.22,NA,2.67,14,1.07,3.54
"129","E07000107",18.68,NA,2.31,15.43,1.18,3.8
"130","E07000108",23.3,NA,3.39,13.85,1.18,3.75
"131","E07000109",19.76,NA,2.59,16.27,1.04,3.65
"132","E07000110",19.76,NA,2.23,15.23,1.16,3.67
"133","E07000111",20.83,NA,2.94,14.92,1.08,3.53
"134","E07000112",22.84,NA,3.1,15.76,1.1,3.83
"135","E07000113",21.28,NA,2.62,15.94,1.12,3.67
"136","E07000114",22.84,NA,3.6,16.43,1.13,3.79
