"","prac.code","bp","bp1","chd","depression","pad_IMD","pad","stroke.IMD","stroke","bp_notdiag","bp.qof","chd.qof","depression.qof"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A81001",23.71,0.24,7.98,15.81,1.06,1.1,4.15,4.09,12.78,0.14,4.3,7.8
"3","A81002",23.46,0.23,7.24,17.33,0.99,1.03,3.89,3.79,12.86,0.17,5.02,13.41
"4","A81003",22.38,0.22,7.25,19.84,1.01,1.05,3.89,3.78,12.44,0.18,3.75,9.21
"5","A81004",21.33,0.21,7.9,15.28,1.03,1.05,4.06,3.97,12.26,0.14,4.02,4.86
"6","A81005",25.76,0.26,7.17,16.94,0.97,1.03,3.77,3.84,13.21,0.17,4.33,8.16
"7","A81006",22.39,0.22,7.06,17.94,0.98,1.02,3.79,3.7,12.48,0.15,4.19,4.77
"8","A81007",22.84,0.23,7.49,18.91,1.04,1.09,4.04,3.96,12.5,0.16,4.68,14.31
"9","A81008",22.48,0.22,7.53,19.85,1.06,1.11,4.05,3.85,12.73,0.2,5.26,10.52
"10","A81009",20.97,0.21,7.12,16.41,0.96,0.99,3.64,3.57,12.2,0.13,3.83,4.69
"11","A81011",22.97,0.23,7.38,19.47,1.03,1.08,3.98,3.88,12.52,0.19,5.59,13.41
"12","A81012",20.76,0.21,7.26,17.55,0.99,1.01,3.84,3.68,12.23,0.17,3.85,8.12
"13","A81013",22.74,0.23,7.47,19.62,1.06,1.1,4.09,3.89,12.78,0.16,3.76,8.62
"14","A81014",25.87,0.26,7.59,17.15,1.05,1.11,4.04,4.02,13.58,0.2,6.35,2.69
"15","A81015",22.95,0.23,6.87,18.44,0.97,1.01,3.76,3.67,12.73,0.15,4.46,6.49
"16","A81016",18.87,0.19,7.6,14.9,1,1,3.8,3.7,11.56,0.12,3.53,8.54
"17","A81017",19.29,0.19,6.68,16.22,0.9,0.95,3.47,3.55,11.37,0.12,3.13,11.84
"18","A81018",24.07,0.24,7.67,18.89,1.08,1.12,4.15,3.99,13.19,0.19,5.57,14.96
"19","A81019",21.13,0.21,6.73,19.41,0.94,0.98,3.68,3.5,12.14,0.13,4.13,4.37
"20","A81020",24.15,0.24,7.64,16.45,1.01,1.05,4.04,3.94,13.14,0.18,5.04,4.14
"21","A81021",23.04,0.23,7.35,19.15,1.02,1.08,3.97,3.85,12.68,0.16,4.7,10.1
"22","A81022",23.77,0.24,7.37,19.82,1.02,1.08,3.84,3.85,12.89,0.17,4.68,7.38
"23","A81023",17.95,0.18,7.03,15.82,0.94,0.95,3.57,3.46,11.24,0.12,3.31,0.35
"24","A81025",22.79,0.23,7.44,16.8,1,1.03,3.9,3.83,12.66,0.14,5.12,6.38
"25","A81026",21.98,0.22,7.47,16.27,1,1.02,3.79,3.71,12.54,0.13,4.36,5.65
"26","A81027",22.64,0.23,7.01,15.17,0.92,0.97,3.8,3.83,12.25,0.15,4.03,7.62
"27","A81029",18.75,0.19,7.75,14.62,1,1,3.89,3.74,11.73,0.13,4.04,9.07
"28","A81030",22.43,0.22,7.7,14.61,0.99,1.01,3.88,3.86,12.44,0.13,3.49,7.43
"29","A81031",22.53,0.23,7.43,19.39,1.03,1.08,4.06,3.96,12.43,0.16,4.38,3.95
"30","A81032",24.46,0.24,7.28,17.41,0.98,1.05,3.82,3.9,12.89,0.15,4.32,8.33
"31","A81033",21.45,0.21,7.55,17.46,1.02,1.03,3.98,3.81,12.6,0.16,5.02,2.47
"32","A81034",18.59,0.19,6.66,16.56,0.9,0.95,3.45,3.53,11.19,0.12,3.04,13.97
